nama club,city,province,region,stadium,stadiumcapacity,founded,nickname,supporters,lat,lng,Grup
Adhayaksa FC,Bekasi,Jawa Barat,Jawa,Stadion Patriot Candrabhaga,33000,2022,,Bekasi Nord Squadra,-6.238088028,106.9919158,Barat
De Red FC,Surabaya,Jawa Timur,Jawa,Stadion Gelora 10 November,15000,2015,,,-7.251546188,112.7562868,Timur
Deltras FC,Sidoarjo,Jawa Timur,Jawa,Stadion Gelora Delta,19400,1989,The Lobster,Deltamania,-7.447298673,112.7059434,Timur
Kendal Tornado FC,Semarang,Jawa Tengah,Jawa,Stadion Utama Kebondalem,15000,2018,Laskar Badai Pantura,Tornado Mania,-6.93130188,110.2051237,Timur
Persela,Lamongan,Jawa Timur,Jawa,Stadion Surajaya,12800,1970,Laskar Joko Tingkir,LAMania,-7.113331653,112.4294975,Timur
Persiba,Balikpapan,Kalimantan Timur,Kalimantan,Stadion Batakan,40000,1950,Beruang Madu,Balistik Mania,-1.233285366,116.9433414,Timur
Persikad,Depok,Jawa Barat,Jawa,Stadion Merpati,30000,1990,Serigala Margonda,Depok Mania,-6.49475854,106.8333231,Barat
Persiku,Kudus,Jawa Tengah,Jawa,Stadion Wergu Wetan,15000,1934,Laskar Macan Muria,Macan Muria,-6.815748868,110.8508421,Barat
Persipura,Jayapura,Papua,Papua,Stadion Mandala Jayapura,30000,1963,Mutiara Hitam,Persipura Mania,-2.530235656,140.7234022,Timur
Persiraja,Banda Aceh,Aceh,Sumatera,Stadion H. Dimurthala,20000,1957,Laskar Rencong,Skuller,5.565432447,95.34096105,Barat
Persis,Solo,Jawa Tengah,Jawa,Stadion Manahan,20000,1923,Laskar Samber Nyawa,Pasoepati,-7.55538745,110.8065441,Timur
PS. Barito Putera,Banjarmasin,Kalimantan Selatan,Kalimantan,Stadion 17 MEI BANJARMASIN,12000,1988,Laskar Antasari,Barito Mania,-3.316821336,114.5801627,Timur
PSBS,Biak,Papua,Papua,Stadion Cendrawasih,15000,1964,Badai Pasifik,Napi Bongkar,-1.179889724,136.0869235,Timur
PSGC,Ciamis,Jawa Barat,Jawa,Stadiun Galuh Ciamis,25000,1990,Laskar Singacala,Balad Galuh,-7.333866359,108.3559226,Barat
PSIS,Semarang,Jawa Tengah,Jawa,Stadion Jatidiri,18000,1932,Laskar Mahesa Jenar,Panser Biru,-7.025784441,110.409611,Barat
PSMS,Medan,Sumatera Utara,Sumatera,Stadion Utama Sumatera Utara,25750,1950,Ayam Kinantan,Smeck Holligan,3.603816164,98.8223011,Barat
PSPS,Pekanbaru,Riau,Sumatera,Stadion Kaharuddin Nasution,20000,1955,Askar Bertuah,Asykar Theking,0.5728048957,101.4301381,Barat
Rans Nusantara FC,Malang,Jawa Timur,Jawa,Stadion Kanjuruhan,45000,2021,The Phoenix,Boys of RANS,-8.150119862,112.5739803,Timur
Semen Padang FC,Padang,Sumatera Barat,Sumatera,Stadion H Agus Salim,28000,1980,Kabau Sirah,Spartacks,-0.9291624409,100.3578995,Barat
Sumsel United,Palembang,Sumatera Selatan,Sumatera,Stadion Gelora Bumi Sriwijaya,6000,2025,The Fireball,,-2.977366167,104.743826,Barat
