Tanggal,Waktu,Tim Tuan Rumah,Tim Tamu,Stadion / Stadion
"Jumat, 11 September 2026",19:00 WIB,PSIS Semarang,PSPS Pekanbaru,Jatidiri
"Sabtu, 12 September 2026",19:00 WIB,PERSIKAD Depok,PSGC Ciamis,Pakansari
"Sabtu, 12 September 2026",19:00 WIB,PERSIKU Kudus,Adhyaksa FC Bekasi,Sultan Agung
"Sabtu, 12 September 2026",15:30 WIB,De Red FC,Kendal Tornado FC,Gelora 10 November
"Sabtu, 12 September 2026",19:00 WIB,PS Barito Putra,PERSIPURA Jayapura,17 Mei Banjarmasin
"Minggu, 13 September 2026",19:00 WIB,SUMSEL United,PSMS Medan,Gelora Sriwijaya Jakabaring
"Minggu, 13 September 2026",20:30 WIB,PERSIRAJA Banda Aceh,Semen Padang FC,H. Dimurthala
"Minggu, 13 September 2026",15:30 WIB,RANS Nusantara FC,PERSIBA Balikpapan,Kanjuruhan
"Minggu, 13 September 2026",15:30 WIB,PERSELA Lamongan,PERSIS Solo,Surajaya
"Minggu, 13 September 2026",19:00 WIB,PSBS Biak,DELTRAS FC Sidoarjo,Gelora Joko Samudro
